,Unnamed: 0,isbuyer,buy_freq,visit_freq,buy_interval,sv_interval,expected_time_buy,expected_time_visit,last_buy,last_visit,multiple_buy,multiple_visit,uniq_urls,num_checkins,pred_prob,pred_label
0,1,0,,1,0.0,0.0,0.0,0.0,72,72,0,0,154,1100,0.273212646969131,0
1,2,0,,1,0.0,0.0,0.0,0.0,5,5,0,0,4,12,0.5145682589753431,1
2,3,0,,1,0.0,0.0,0.0,0.0,42,42,0,0,42,110,0.33396120548879976,0
3,4,0,,2,0.0,29.79167,0.0,-106.1883,121,121,0,1,101,401,0.3504469827057646,0
4,5,0,,2,0.0,21.33333,0.0,-108.323,118,118,0,1,163,891,0.3504469827057646,0
5,6,0,,1,0.0,0.0,0.0,0.0,19,19,0,0,16,48,0.3639849642343968,0
6,7,0,,1,0.0,0.0,0.0,0.0,81,81,0,0,32,177,0.3129159060714765,0
7,8,0,,1,0.0,0.0,0.0,0.0,36,36,0,0,76,163,0.2767868807967398,0
8,9,0,,1,0.0,0.0,0.0,0.0,70,70,0,0,168,1317,0.27457991974788726,0
9,10,0,,2,0.0,133.125,0.0,50.474090000000004,16,16,0,1,67,396,0.34587840116416746,0
10,11,0,,2,0.0,15.75,0.0,-32.3082,40,40,0,1,95,121,0.3785464005807208,0
11,12,0,,1,0.0,0.0,0.0,0.0,152,152,0,0,93,435,0.273212646969131,0
12,13,0,,1,0.0,0.0,0.0,0.0,118,118,0,0,69,136,0.29255983134498653,0
13,14,0,,1,0.0,0.0,0.0,0.0,66,66,0,0,87,585,0.273212646969131,0
14,15,0,,1,0.0,0.0,0.0,0.0,53,53,0,0,110,354,0.273212646969131,0
15,16,0,,2,0.0,0.375,0.0,-1.345821,1,1,0,1,-1,359,0.5979029673132392,1
16,17,0,,1,0.0,0.0,0.0,0.0,37,37,0,0,31,73,0.3325193435180578,0
17,18,0,,1,0.0,0.0,0.0,0.0,1,1,0,0,120,152,0.5061733810684411,1
18,19,0,,1,0.0,0.0,0.0,0.0,87,87,0,0,84,510,0.273212646969131,0
19,20,0,,1,0.0,0.0,0.0,0.0,161,161,0,0,79,1968,0.2753963727858741,0
20,21,0,,1,0.0,0.0,0.0,0.0,172,172,0,0,173,1814,0.27457991974788726,0
21,22,0,,1,0.0,0.0,0.0,0.0,182,182,0,0,177,614,0.27195117171760985,0
22,23,0,,1,0.0,0.0,0.0,0.0,44,44,0,0,159,1684,0.27555593804090367,0
23,24,0,,1,0.0,0.0,0.0,0.0,94,94,0,0,172,352,0.273212646969131,0
24,25,0,,1,0.0,0.0,0.0,0.0,13,13,0,0,25,96,0.3499454847496296,0
25,26,0,,1,0.0,0.0,0.0,0.0,46,46,0,0,99,320,0.273212646969131,0
26,27,0,,1,0.0,0.0,0.0,0.0,138,138,0,0,175,1999,0.27331450557755066,0
27,28,0,,1,0.0,0.0,0.0,0.0,33,33,0,0,110,1309,0.27555593804090367,0
28,29,0,,1,0.0,0.0,0.0,0.0,36,36,0,0,174,1357,0.2742877265883884,0
29,30,0,,1,0.0,0.0,0.0,0.0,11,11,0,0,44,126,0.31535165459090253,0
30,31,0,,1,0.0,0.0,0.0,0.0,14,14,0,0,22,95,0.3499454847496296,0
31,32,0,,3,0.0,3.0625,0.0,-8.559408,10,10,0,1,130,496,0.49437089455832767,0
32,33,0,,2,0.0,3.083333,0.0,-85.97951,87,87,0,1,34,116,0.4055730520838228,0
33,34,0,,1,0.0,0.0,0.0,0.0,22,22,0,0,43,100,0.30697087955205676,0
34,35,0,,1,0.0,0.0,0.0,0.0,2,2,0,0,143,398,0.4525827987516885,0
35,36,0,,1,0.0,0.0,0.0,0.0,9,9,0,0,63,108,0.3123397804466617,0
36,37,0,,1,0.0,0.0,0.0,0.0,33,33,0,0,123,709,0.2741856421308065,0
37,38,0,,2,0.0,67.0,0.0,-76.97906,110,110,0,1,111,908,0.31108669457104704,0
38,39,0,,1,0.0,0.0,0.0,0.0,24,24,0,0,22,46,0.33531451817268526,0
39,40,0,,1,0.0,0.0,0.0,0.0,88,88,0,0,9,85,0.3566157695537404,0
40,41,0,,1,0.0,0.0,0.0,0.0,0,0,0,0,127,1276,0.4537023640833803,0
41,42,0,,1,0.0,0.0,0.0,0.0,45,45,0,0,95,132,0.291712979572888,0
42,43,0,,1,0.0,0.0,0.0,0.0,124,124,0,0,101,449,0.273212646969131,0
43,44,0,,1,0.0,0.0,0.0,0.0,97,97,0,0,25,204,0.3129159060714765,0
44,45,0,,1,0.0,0.0,0.0,0.0,14,14,0,0,152,305,0.2856570804349519,0
45,46,0,,3,0.0,6.0833330000000005,0.0,2.1174060000000003,1,1,0,1,-1,792,0.6853465120440145,1
46,47,0,,1,0.0,0.0,0.0,0.0,97,97,0,0,190,826,0.27195117171760985,0
47,48,0,,1,0.0,0.0,0.0,0.0,7,7,0,0,180,1084,0.3594673222420456,0
48,49,0,,1,0.0,0.0,0.0,0.0,114,114,0,0,14,65,0.3566157695537404,0
49,50,0,,1,0.0,0.0,0.0,0.0,16,16,0,0,10,96,0.3757434081815693,0
50,51,0,,1,0.0,0.0,0.0,0.0,84,84,0,0,174,2872,0.27331450557755066,0
51,52,0,,1,0.0,0.0,0.0,0.0,46,46,0,0,148,228,0.273212646969131,0
52,53,0,,1,0.0,0.0,0.0,0.0,33,33,0,0,185,1405,0.2742877265883884,0
53,54,1,1.0,1,0.0,0.0,0.0,0.0,160,160,0,0,11,43,0.4412315872594184,0
54,55,0,,1,0.0,0.0,0.0,0.0,138,138,0,0,139,334,0.273212646969131,0
55,56,0,,1,0.0,0.0,0.0,0.0,32,32,0,0,26,142,0.33396120548879976,0
56,57,0,,1,0.0,0.0,0.0,0.0,0,0,0,0,6,24,0.594625306345424,1
57,58,0,,2,0.0,0.041666699999999994,0.0,-22.007839999999998,22,22,0,1,36,88,0.3671587735363455,0
58,59,0,,1,0.0,0.0,0.0,0.0,117,117,0,0,78,669,0.27402657022370513,0
59,60,0,,1,0.0,0.0,0.0,0.0,175,175,0,0,67,252,0.27402657022370513,0
60,61,0,,1,0.0,0.0,0.0,0.0,120,120,0,0,164,3140,0.27457991974788726,0
61,62,0,,2,0.0,0.041666699999999994,0.0,-2.232487,2,2,0,1,43,207,0.5379918686791076,1
62,63,0,,2,0.0,14.833329999999998,0.0,-120.5602,127,127,0,1,190,844,0.3504469827057646,0
